Snapshot:
term=2 index=30003 nodes=[ce2a822cea30bfca]
Start dupmping log entries from snapshot.
WAL metadata:
nodeID=ce2a822cea30bfca clusterID=7e27652122e8b2ae term=2 commitIndex=30098 vote=ce2a822cea30bfca
WAL entries:
lastIndex=30098
term	     index	type	data
   2	     30075	norm	method=SYNC time="2017-01-31 16:08:41.8025091 +0800 CST"
   2	     30076	norm	method=SYNC time="2017-01-31 16:08:42.3035377 +0800 CST"
   2	     30077	norm	method=SYNC time="2017-01-31 16:08:42.8025663 +0800 CST"
   2	     30078	norm	method=SYNC time="2017-01-31 16:08:43.3025949 +0800 CST"
   2	     30079	norm	method=SYNC time="2017-01-31 16:08:43.8026235 +0800 CST"
   2	     30080	norm	method=SYNC time="2017-01-31 16:08:44.301652 +0800 CST"
   2	     30081	norm	method=SYNC time="2017-01-31 16:08:44.8016806 +0800 CST"
   2	     30082	norm	method=SYNC time="2017-01-31 16:08:45.3017092 +0800 CST"
   2	     30083	norm	method=SYNC time="2017-01-31 16:08:45.8017378 +0800 CST"
   2	     30084	norm	method=SYNC time="2017-01-31 16:08:46.3017664 +0800 CST"
   2	     30085	norm	method=SYNC time="2017-01-31 16:08:46.801795 +0800 CST"
   2	     30086	norm	method=SYNC time="2017-01-31 16:08:47.3018236 +0800 CST"
   2	     30087	norm	method=SYNC time="2017-01-31 16:08:47.8018522 +0800 CST"
   2	     30088	norm	method=SYNC time="2017-01-31 16:08:48.3018808 +0800 CST"
   2	     30089	norm	method=SYNC time="2017-01-31 16:08:48.8019094 +0800 CST"
   2	     30090	norm	method=SYNC time="2017-01-31 16:08:49.301938 +0800 CST"
   2	     30091	norm	method=SYNC time="2017-01-31 16:08:49.8019666 +0800 CST"
   2	     30092	norm	method=SYNC time="2017-01-31 16:08:50.3019952 +0800 CST"
   2	     30093	norm	method=SYNC time="2017-01-31 16:08:50.8020238 +0800 CST"
   2	     30094	norm	method=SYNC time="2017-01-31 16:08:51.3020524 +0800 CST"
   2	     30095	norm	method=SYNC time="2017-01-31 16:08:51.8030811 +0800 CST"
   2	     30096	norm	method=SYNC time="2017-01-31 16:08:52.3031097 +0800 CST"
   2	     30097	norm	method=SYNC time="2017-01-31 16:08:52.8021382 +0800 CST"
   2	     30098	norm	method=SYNC time="2017-01-31 16:08:53.3021668 +0800 CST"
